,AVAR,correlation_interval
0,0.0077517047208131825,131072
1,0.06320994058190216,37449
2,0.02507258705828401,13107
3,0.008624555953940391,4369
4,0.003273375805392025,1456
5,0.0012601633307561056,486
6,0.0005478910368754848,162
7,0.000504937004984394,54
8,0.001163334832083538,18
9,0.0033521771572683967,6
10,0.009950907834967281,2
